"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"YPLA-13","N/D","SCS1","Director (Region + Policy Area)","To lead 16-19 delivery arrangements in a specified geographical area and support local authorities' leadership role in securing a good range of learning opportunities for young people.","Department for Education","Young People's Learning Agency","Strategy and Implementation","0845 3372000","enquiries@ypla.gov.uk","YPLA-2","1259096","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-13","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person14"
"YPLA-29","N/D","SCS1","Director of Shared Services (Temporary).","To lead on the development and delivery of the YPLAs shared services","Department for Education","Young People's Learning Agency","Strategy and Implementation","0845 3372000","enquiries@ypla.gov.uk","YPLA-21","0","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-29","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person30"
"YPLA-1","N/D","SCS1","Director of Academies Operations","To lead delivery of the YPLAs responsibilities for academies - translate policy into sound operational systems and secure stakeholder commitment.","Department for Education","Young People's Learning Agency","Academies","0845 3372000","enquiries@ypla.gov.uk","YPLA-2","1545076","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-1","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person2"
"YPLA-20","N/D","SCS1","Director of Strategy & Commissioning Support.","To develop a strategic framework for the funding and commissioning of 16-19 learning opportunities in partnership with local authorities.","Department for Education","Young People's Learning Agency","Strategy and Implementation","0845 3372000","enquiries@ypla.gov.uk","YPLA-32","1078816","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-20","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person21"
"YPLA-21","Sue Samson","SCS2","Strategic Director of Strategy & Implementation.","The YPLA's Strategic Director of Strategy and Implementation is a member of the Executive Management Board and provides senior leadership capacity to develop capacity in and performance of the YPLA. He is also responsible for developing sound systems for the delivery of 16-19 education and training and has delegated authority for the programme spending on 16-19 education and training and for running costs of YPLA's staff working on 16-19.","Department for Education","Young People's Learning Agency","Strategy and Implementation","0845 3372000","enquiries@ypla.gov.uk","YPLA-4","1196026","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-21","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person22"
"YPLA-2","Neil Flint","SCS2","Strategic Director of Academies","The Strategic Director of Academies in the YPLA is a member of the Executive Management Board and provides senior leadership capacity to develop capacity in and performance of the YPLA. He is also responsible for developing sound systems for the funding and support and challenge of academies and has delegated authority for the programme spending on academies and for running costs of YPLA's staff working on academies.","Department for Education","Young People's Learning Agency","Academies","0845 3372000","enquiries@ypla.gov.uk","YPLA-4","0","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-2","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person3"
"YPLA-18","Vacant","SCS1","Director (Region + Policy Area)","To lead 16-19 delivery arrangements in a specified geographical area and support local authorities' leadership role in securing a good range of learning opportunities for young people.","Department for Education","Young People's Learning Agency","Strategy and Implementation","N/A","enquiries@ypla.gov.uk","YPLA-32","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-18","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person19"
"YPLA-5","N/D","SCS1","Director of Funding Policy.","To develop national policy for funding curriculum & qualifications to meet the needs of all young people - including those requiring specialist provision.","Department for Education","Young People's Learning Agency","Finance, Funding and Corporate Services","0845 3372000","enquiries@ypla.gov.uk","YPLA-32","1208941","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-5","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person6"
"YPLA-11","N/D","SCS1","Director (Region + Policy Area)","To lead 16-19 delivery arrangements in a specified geographical area and support local authorities' leadership role in securing a good range of learning opportunities for young people.","Department for Education","Young People's Learning Agency","Strategy and Implementation","0845 3372000","enquiries@ypla.gov.uk","YPLA-2","1018789","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-11","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person12"
"YPLA-23","N/D","SCS1","GO Young People's Service Adviser.","To lead the 14-19 team in the Government Office for a specified geographical area - to monitor local performance and contribute to the work of the children and learners team.","Department for Education","Young People's Learning Agency","Government Office","0845 3372000","enquiries@ypla.gov.uk","YPLA-32","0","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/young-peoples-learning-agency/post/YPLA-23","/data/ypla/2011-09-30/30-Sep-2011-YPLA-Upload.xls","person24"
