,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,19678,Nick Macpherson,SCS4,Permanent Secretary,"Responsible for decision making, Coordination and Management of the Department and Communications with media and the public.",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,xx,0.0,1.0,180000,184999,0,Policy,,1
1,23164,John Kingman,SCS4,Second Permanent Secretary,"Responsible for growth policy, financial services and infrastructure",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0.0,1.0,155000,159999,0,Policy,,1
2,23165,Tom Scholar,SCS4,Second Permanent Secretary,"Responsible for the Treasury's work to promote the UK economic prosperity by maintaining financial stability internationally and in the UK' promoting global prosperity, driving economic reform in the EU",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0.0,1.0,150000,154999,0,Policy,,1
3,24041,Dave Ramsden,SCS3,Director General and Chief Economic Adviser to the Treasury,"Responsible for  economic and fiscal policy advice, analysis and surveillance. As head of Government Economic service leadership of the economic profession across government, working closely with other heads of profession, in particular for social research.",Her Majesty's Treasury,HM Treasury,Economics and Fiscal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0.0,1.0,125000,129999,0,Policy,,1
4,24042,Indra Morris,SCS3,"Director General, Tax and Welfare",Responsible for Tax and Welfare,Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0.0,1.0,125000,129999,0,Policy,,1
5,24043,Sharon White,SCS3,"Director General, Public Spending","Responsible for the Treasury's work on Public services with overall responsibility for managing public spending, strengthening financial discipline across central government, helping to ensure the delivery of more cost effective public services, and contributing to creating the conditions for sustainable growth whilst supporting development in infrastructure and a low carbon economy.",Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0.0,1.0,130000,134999,0,Policy,,1
6,24775,Charles Roxburgh,SCS3,Director General Financial Services,Responsible for Financial Services ,Her Majesty's Treasury,HM Treasury,Board Ministerial and Communications,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23164,0.0,1.0,130000,134999,0,Policy,,1
7,24024,Julian Kelly,SCS2,"Director, Public Spending","Responsible for Spending Control, Pay and Pensions",Her Majesty's Treasury,HM Treasury,Public Spending,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24043,0.0,1.0,90000,94999,0,Policy,,1
8,24025,Kirstin Baker,SCS2,"Director, Finance and Commercial","Responsible for Estates, IT, Management of Domestic Budget, Accounts and Commercial Activities",Her Majesty's Treasury,HM Treasury,Corporate Centre ,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,918476.066667,0.6,50000,54999,0,Policy,Part Time 0.6 FTE,1
9,24027,Mike Williams,SCS2,Director  Business and International Tax,"Responsible for Corporation Tax, Capital Gains Tax, Value Added Tax, other consumption taxes and duties, International Tax and Environmental taxes.",Her Majesty's Treasury,HM Treasury,Business and International Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0.0,1.0,110000,114999,0,Policy,,1
