,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,ERD001,Una O'Brien,SCS4,Permanent Secretary of the Department of Health,"'Leadership and management of the Department of Health. Ensuring the department operates efficiently and coherently as a department of state in support of Ministers, including effective cross-Government working.'",Department of Health,Department of Health,DH Permanent Secretary - Private Office,020 7210 4850,N/D,XX,0.0,1.0,160000,164999,0,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
1,RDD-009,Russell Hamilton,SCS2,Director of Research & Development,"'Provide leadership to - create an effective and efficient research system in the NHS, public health and social care that supports world-class research focused on the needs of patients and the public - commission reliable and relevant research to support decision-making about health and social care by patients, professionals and policy makers - support DH’s wider roles across Government particularly in relation to the key contribution that health research makes to improving national health and increasing national wealth.'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,CMO-002,860195.52,1.0,130000,134999,0,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
2,RDD-041,ND,SCS1,Deputy Director - Head of Research Finance & Programmes,"'Responsible for - commissioning research to inform DH and ALB policy; providing research evidence to underpin decisions about healthcare, public health and social care by professionals, patients and the public; supporting world-class researchers, conducting leading-edge research focused on patients and the public; discharging the responsibilities via the DH Policy Research Programme, and through NIHR research and training programmes; oversight of policy for commissioning, managing and funding research'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,1205169.5,1.0,0,0,0,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
3,RDD-039,ND,SCS1,Deputy Director - Head of  Research Infrastructure and Growth,"'Responsible for - creating world-class research infrastructure in the NHS to speed up translation of leading-edge research into patient benefits and maximising NHS research potential to contribute to the country’s economic growth through the life sciences industries; forging and harnessing partnership between the NHS and Universities; leading on Research and Development relations with the life sciences industry, and working across government on the growth agenda.'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,347255.0,1.0,0,0,0,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
4,RDD-037,ND,SCS1,Deputy Director - Head of Research Information and Intelligence,"'Responsible for - maximising opportunities for better use of information to increase the evidence base of research and efficiency of the research system; mobilising research outputs and evaluating the impact of DH investment in research, and communicating the impacts to stakeholders'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,230614.0,1.0,0,0,0,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
5,RDD-040,ND,SCS1,Deputy Director - Head of Research Standards and Support,'Responsible for - developing policies and delivering system reforms that ensure proportionate research regulation and management to speed up benefits for patients and improve the UK’s competitive advantage in the life sciences; overseeing the development and legislative basis for the Health Research Authority (HRA) and providing on-going sponsorship.',Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,0.0,0.8,0,0,0,Policy,Cost of Reports added to RDD-009 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
6,HIP030,ND,SCS1,Project Lead for the Dementia Summit,"'To organise a G8 Dementia Summit as part of the UK’s presidency of the G8, and the PM’s domestic Dementia Challenge agenda.  '",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,PHD-019,0.0,1.0,0,0,0,Policy,Cost of Reports added to PHD-019 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
7,GOA-005,Karen Wheeler,SCS3,Director General for Information & Group Operations,"'Responsible for: delivering the Departments internal operational functions, successful delivery of the transition programme and ongoing
legacy for whole system reform.'",Department of Health,Department of Health,Information and Group Operations,020 7210 4850,N/D,ERD001,682964.05,1.0,140000,144999,0,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
8,CDD037,Claire Pacey,SCS2,Our DH Programme Director,"'Responsible for - Leading the closedown of the NHS Leadership team directorates and associated legacy activities post 31 March 2013.
Working with the Our DH Programme Board to re-focus and expand the DH transformation programme, making sure an appropriate
programme management framework is in place to enable successful delivery. Managing dependencies, interfaces, key risks and benefits realisation across the programme.'",Department of Health,Department of Health,Information and Group Operations,020 7210 4850,N/D,GOA-005,452413.0,1.0,115000,119999,0,Programme and Project Management (PPM),Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
9,CDD021,Dave Bell,SCS2,Shared Services Programme Director,"'Responsible for - Leading the Shared Services Programme which covers finance, HR, payroll, occupational health and procurement. Scope of the programme includes DH and its ALBs with some organisations being out of scope for certain aspects of the programme.'",Department of Health,Department of Health,Information and Group Operations,020 7210 4850,N/D,GOA-005,316632.0,1.0,115000,119999,0,Operational Delivery,Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
