,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,10000,Simon Fraser,SCS4,Permanent Under-Secretary and Head of the Diplomatic Service,Leading the FCO and the Diplomatic Service,Foreign and Commonwealth Office,Foreign and Commonwealth office,PUS,0207 008 1500,dp-foi.img@fco.gov.uk,XX,0.0,1.0,180000,184999,0,,,1
1,11000,Simon Gass,SCS3,Director General Political,Providing senior policy advice at Board level,Foreign and Commonwealth Office,Foreign and Commonwealth office,DG Political,0207 008 1500,dp-foi.img@fco.gov.uk,10000,0.0,1.0,135000,139999,0,,,1
2,11100,Richard Crompton,SCS2,Director South Asia and Afghanistan,Senior regional policy advice,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,90000,94999,0,,,1
3,11101,Charles Stagg,SCS3,HMA Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,140000,144999,0,,,1
4,11102,James Bevan,SCS3,BHC New Delhi,Representing British interests in India,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,135000,139999,0,,,1
5,11103,Adam Thomson,SCS3,BHC Islamabad,Representing British interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,130000,134999,0,,,1
6,11104,Robert Gibson,SCS2,BHC Dhaka,Representing British interests in Bangladesh,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
7,11106,John Rankin,SCS2,BHC Colombo,Representing British interests in Sri Lanka,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
8,11107,Robert Chatterton-Dickson,SCS2,DHM Kabul,Representing British interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
9,11109,Alison Blake,SCS2,DHM Islamabad,Representing British Interests in Pakistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
10,11110,Catherine Royle,SCS2,Kabul - General,Representing British Interests in Afghanistan,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
11,11112,Peter Beckingham,SCS2,DHC Mumbai,Representing British Interests in India,Foreign and Commonwealth Office,Foreign and Commonwealth office,South Asia & Afghanistan Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
12,11200,Paul Arkwright,SCS2,Director International Institutions,Senior policy advice on international organisations,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
13,11201,Alison Leslie,SCS3,HMA and Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,120000,124999,0,,,1
14,11202,Mark Lyall Grant,SCS3,Permanent Representative and Ambassador to the United Nations,Representing British interests at the UN,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,145000,149999,0,,,1
15,11203,Patrick Turner,SCS2,Deputy Permanent Representative to NATO,Representing British interests at NATO,Foreign and Commonwealth Office,Foreign and Commonwealth office,International Institutions Directorate,0207 008 1500,dp-foi.img@fco.gov.uk,11000,0.0,1.0,85000,89999,0,,,1
