,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1038769,"Collins, Rory/Peto, Richard",SCS2,Scientific Director (Non-MRC employee),Scientific Directors of MRC Clinical Trial Service Unit ,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Trial Service Unit (CTSU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,2001935.16,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY OXFORD UNIVERSITY,1
1,1038777,"Richardson, Sylvia",SCS2,Scientific Director (Non-MRC employee),Scientific Director of MRC Biostatistics Unit,Department for Business Innovation and Skills,Medical Research Council ,MRC Biostatistics Unit (BSU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,1597636.52,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY,1
2,1038791,"Gathercole, Susan",SCS2,Scientific Director (Non-MRC employee),Scientific Director of MRC Cognition and Brain Sciences Unit,Department for Business Innovation and Skills,Medical Research Council ,MRC Cognition and Brain Sciences Unit (CBSU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,3255442.69,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY,1
3,1038875,"Venkitaraman, Ashok",SCS2,Scientific Director (Non-MRC employee),Scientific Director of MRC Cancer Cell Unit ,Department for Business Innovation and Skills,Medical Research Council ,MRC Cancer Cell Unit (CCU),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,1574376.44,1.0,0,0,0,Science and Engineering,NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY,1
4,1038881,"Davies, Megan",SCS2,Director,Director of Cambridge Centre,Department for Business Innovation and Skills,Medical Research Council ,Cambridge Regional Centre,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,348342.83,1.0,95000,99999,0,Operational Delivery,,1
5,1038961,"Fisher, Amanda ",SCS2,Scientific Director,Scientific Director of MRC Clinical Sciences Centre (,Department for Business Innovation and Skills,Medical Research Council ,MRC Clinical Sciences Centre (CSC),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,5108834.08,1.0,135000,139999,0,Science and Engineering,,1
6,1039259,N/D,SCS2,Scientific Director,Scientific Director of MRC (UK) The Gambia,Department for Business Innovation and Skills,Medical Research Council ,MRC (UK) The Gambia,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,1172781.0,1.0,0,0,0,Science and Engineering,Name/details withheld for security reasons,1
7,1039390,"Prentice, Ann",SCS2,Scientific Director,Scientific Director of MRC Collaborative Centre for Human Nutrition Research,Department for Business Innovation and Skills,Medical Research Council ,MRC Collaborative Centre for Human Nutrition Research (HNR),01793 416200,corporate@headoffice.mrc.ac.uk,1039471,3163041.73,1.0,95000,99999,0,Science and Engineering,,1
8,1039449,"Bulger, Alexander",SCS2,Director of Major Projects,Director of Major Projects,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039455,413935.0,1.0,120000,124999,0,Programme and Project Management (PPM),,1
9,1039455,N/D,SCS2,Chief Operating Officer,Chief Operating Officer,Department for Business Innovation and Skills,Medical Research Council ,MRC Head Office,01793 416200,corporate@headoffice.mrc.ac.uk,1039471,776093.92,1.0,140000,144999,0,Operational Delivery,Objection to disclosure,1
