,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1,Jil Matheson,SCS4,Permanent Secretary,"National Statistician, Head of GSS",UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,020 75928663,national.statistician@statistics.gsi.gov.uk,Board,326769.0,1.0,150000,154999,0,Statisticians,"The National Statistician is the Permanent Secretary and Chief Executive of the UK Statistics Authority and Head Of GSS. As Permanent Secretary, The National Statistician reports to the Cabinet Secretary.",1
1,2,Glen Watson,SCS3,Director General,Head Of ONS,UK Statistics Authority,UK Statistics Authority,Office For National Statistics,0845 601 3034,info@statistics.gov.uk,1,381125.0,1.0,105000,109999,0,Statisticians,,1
2,4,Caron Walker,SCS2,Director,"Production of statistical outputs from its surveys and administrative sources, and reporting and analysing major social and economic issues",UK Statistics Authority,UK Statistics Authority,Collection and Production,0845 601 3034,info@statistics.gov.uk,2,0.0,1.0,90000,94999,0,Statisticians,,1
3,5,Ian Cope,SCS2,Director,Population and Demography,UK Statistics Authority,UK Statistics Authority,Population and Demography,0845 601 3034,info@ons.gsi.gov.uk,2,239448.85,1.0,90000,94999,0,Statisticians,,1
4,6,Guy Goodwin,SCS2,Director,Analysis and Dissemination,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination,0845 601 3034,info@ons.gsi.gov.uk,2,0.0,1.0,85000,89999,0,Statisticians,Not disclosed - Less than 5 staff (amount not shown against anyone),1
5,12,Susanne Kelliher,SCS1,Deputy Director,Communication,UK Statistics Authority,UK Statistics Authority,Stakeholder Management and Communication,0845 601 3034,info@ons.gsi.gov.uk,6,818258.2,1.0,0,0,0,Communications,Susanne Kelliher replaced Penny Hallet,1
6,14,Pam Davies,SCS1,Deputy Director,National Statisticians Office ,UK Statistics Authority,UK Statistics Authority,National Statisticians Office,01633 456069,nsoffice.enquiries@statistics.gsi.gov.uk,1,1190419.0,1.0,0,0,0,Statisticians,The title of the post has changed - removal of 'Strategy',1
7,15,Peter Patterson,SCS1,Deputy Director,Office of the Chief Economic Adviser,UK Statistics Authority,UK Statistics Authority,Office of the Chief Economic Adviser,0845 601 3034,info@ons.gsi.gov.uk,44,759320.875,1.0,0,0,0,Economics,,1
8,16,Graeme Walker,SCS1,Deputy Director,National Accounts Coordination Division,UK Statistics Authority,UK Statistics Authority,National Accounts Coordination Division,0845 601 3034,info@ons.gsi.gov.uk,4,2299432.315,1.0,0,0,0,Statisticians,,1
9,18,Glenn Everett,SCS1,Deputy Director,Measuring National Well-being,UK Statistics Authority,UK Statistics Authority,Measuring National Wellbeing,0845 601 3034,info@ons.gsi.gov.uk,6,1354779.0,1.0,0,0,0,Statisticians,,1
10,19,Jacqui Jones ,SCS1,Deputy Director,Business Indicators and Balance of Payments,UK Statistics Authority,UK Statistics Authority,Business Indicators and Balance of Payments,0845 601 3034,info@ons.gsi.gov.uk,4,3294450.265,1.0,0,0,0,Statisticians,,1
