,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,18,N/D,SCS1,Deputy Director of Custody South West,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC South West,020 3334 3555,general.queries@justice.gsi.gov.uk,103,70866824.0055,1.0,0,0,0,Operational Delivery,,1
1,19,N/D,SCS1,Deputy Director of Custody West Midlands,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC West Midlands,020 3334 3555,general.queries@justice.gsi.gov.uk,103,64168939.3147,1.0,0,0,0,Operational Delivery,,1
2,20,N/D,SCS1,Deputy Director of Custody North West,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC North West,020 3334 3555,general.queries@justice.gsi.gov.uk,103,110340988.557,1.0,0,0,0,Operational Delivery,,1
3,21,N/D,SCS1,Deputy Director of Custody North East and Youth Custody,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC North East,020 3334 3555,general.queries@justice.gsi.gov.uk,103,58851059.7638,1.0,0,0,0,Operational Delivery,,1
4,23,N/D,SCS1,Deputy Director of Custody Wales and Head of Business Development,"Delivery of offender management, including co-located regional management and Public Sector Business Development",Ministry of Justice,National Offender Management Service (NOMS),DDC Wales,020 3334 3555,general.queries@justice.gsi.gov.uk,103,24877263.2748,1.0,0,0,0,Operational Delivery,,1
5,24,N/D,SCS1,Deputy Director of Custody East of England,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC East of England,020 3334 3555,general.queries@justice.gsi.gov.uk,103,82825883.668,1.0,0,0,0,Operational Delivery,,1
6,25,N/D,SCS1,Deputy Director of Custody Yorkshire and Humberside,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC Yorkshire and Humberside,020 3334 3555,general.queries@justice.gsi.gov.uk,103,91872261.8495,1.0,0,0,0,Operational Delivery,,1
7,26,N/D,SCS1,Deputy Director of Custody London,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC London,020 3334 3555,general.queries@justice.gsi.gov.uk,103,105268985.596,1.0,0,0,0,Operational Delivery,,1
8,27,Vacant,SCS1,Deputy Director of Custody East Midlands,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC East Midlands,,general.queries@justice.gsi.gov.uk,103,101547171.405,1.0,0,0,0,Operational Delivery,,1
9,28,N/D,SCS1,Deputy Director of Custody South Central,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC South Central,020 3334 3555,general.queries@justice.gsi.gov.uk,103,57707044.3,1.0,0,0,0,Operational Delivery,,1
10,30,N/D,SCS1,Deputy Director of Custody Kent and Sussex,"Delivery of offender management, including co-located regional management ",Ministry of Justice,National Offender Management Service (NOMS),DDC Kent and Sussex,020 3334 3555,general.queries@justice.gsi.gov.uk,103,70768043.3905,1.0,0,0,0,Operational Delivery,,1
11,36,Vacant,SCS1,Deputy HR Director NOMS,Provision of Organisational Development services across NOMS,Ministry of Justice,National Offender Management Service (NOMS),Organisational Development Group,,general.queries@justice.gsi.gov.uk,14,2824913.0,1.0,0,0,0,Human Resources,,1
12,38,N/D,SCS1,Head of NOMS Communications,Communications,Ministry of Justice,National Offender Management Service (NOMS),NOMS Communications Group,020 3334 3555,general.queries@justice.gsi.gov.uk,14,751166.0,1.0,0,0,0,Communications,,1
13,40,N/D,SCS1,"Head of Offender Safety, Rights & Responsibilities","Offender Safety, Rights & Responsibilities",Ministry of Justice,National Offender Management Service (NOMS),Offender Safety Rights and Responsibilities Group,020 3334 3555,general.queries@justice.gsi.gov.uk,107,1942064.59164,1.0,0,0,0,Operational Research,,1
14,44,N/D,SCS1,"Deputy Director, Communities",Contract management of Probation Trusts,Ministry of Justice,National Offender Management Service (NOMS),Communities,020 3334 3555,general.queries@justice.gsi.gov.uk,106,5061033.24561,1.0,0,0,0,Operational Delivery,,1
15,45,N/D,SCS1,Head of Planning and Analysis,Provision and analysis of performance data,Ministry of Justice,National Offender Management Service (NOMS),Planning and Analysis Group,020 3334 3555,general.queries@justice.gsi.gov.uk,16,2663267.66186,1.0,0,0,0,Operational Research,,1
16,46,N/D,SCS1,Head of Financial Management and Control,NOMS Financial control & accounting,Ministry of Justice,National Offender Management Service (NOMS),Financial Management and Control,020 3334 3555,general.queries@justice.gsi.gov.uk,16,1233527.0,1.0,0,0,0,Finance,,1
17,47,N/D,SCS1,Deputy Director NOMS Change & ICT Delivery,NOMS Change and ICT Delivery,Ministry of Justice,National Offender Management Service (NOMS),NOMS ICT,020 3334 3555,general.queries@justice.gsi.gov.uk,13,658272.307692,1.0,0,0,0,Programme and Project Management (PPM),,1
18,49,N/D,SCS1,Head of Security,Security,Ministry of Justice,National Offender Management Service (NOMS),Security Group,020 3334 3555,general.queries@justice.gsi.gov.uk,107,3752092.47561,1.0,0,0,0,Operational Delivery,,1
19,102,N/D,SCS1,"Deputy Director, Information Management and Change Capability",Information Management and Change Capability,Ministry of Justice,National Offender Management Service (NOMS),Business and Strategic Planning,020 3334 3555,general.queries@justice.gsi.gov.uk,13,2381416.0,1.0,0,0,0,Knowledge and Information Management (KIM),,1
20,109,N/D,SCS1,Head of Offender Management and Public Protection,Offender Management and Public Protection,Ministry of Justice,National Offender Management Service (NOMS),Offender Management and Public Protection Group,020 3334 3555,general.queries@justice.gsi.gov.uk,107,7624747.15516,1.0,0,0,0,Operational Delivery,,1
21,110,N/D,SCS1,Head of Operational Services and Interventions,Operational Services and Interventions,Ministry of Justice,National Offender Management Service (NOMS),Operational Services and Interventions Group,020 3334 3555,general.queries@justice.gsi.gov.uk,107,5704338.24341,1.0,0,0,0,Operational Delivery,,1
22,111,N/D,SCS1,"Deputy Director, Contracted Custodial Services",Management of Custodial Contracts,Ministry of Justice,National Offender Management Service (NOMS),Deputy Director Team Custodial Contracts,020 3334 3555,general.queries@justice.gsi.gov.uk,106,1889692.0,1.0,0,0,0,Operational Delivery,,1
23,113,N/D,SCS1,"Deputy Director, Business and Provider Development",Business and Provider Development,Ministry of Justice,National Offender Management Service (NOMS),Business and Provider Development,020 3334 3555,general.queries@justice.gsi.gov.uk,106,745348.0,1.0,0,0,0,Finance,,1
24,114,N/D,SCS1,Deputy Director of Custody High Security Prisons,Management of High Security Prison Estate,Ministry of Justice,National Offender Management Service (NOMS),High Security Prisons Group,020 3334 3555,general.queries@justice.gsi.gov.uk,103,147125407.827,1.0,0,0,0,Operational Delivery,,1
25,115,N/D,SCS1,Head of Prison Unit Cost Programme,Prison Unit Cost Programme,Ministry of Justice,National Offender Management Service (NOMS),Prison Unit Cost Programme,020 3334 3555,general.queries@justice.gsi.gov.uk,15,393117.166667,1.0,0,0,0,Operational Delivery,,1
26,116,N/D,SCS1,Head of Commissioning,Commissioning Offender Services,Ministry of Justice,National Offender Management Service (NOMS),Commissioning Group,020 3334 3555,general.queries@justice.gsi.gov.uk,15,5009716.0,1.0,0,0,0,Operational Delivery,"Post created from merging of co-commissioning, community comissioning and custodial commisioning",1
27,117,N/D,SCS1,"Deputy Director, Transforming Rehabilitation Programme",Transforming Rehabilitation Programme,Ministry of Justice,National Offender Management Service (NOMS),Transforming Rehabilitation Programme,020 3334 3555,general.queries@justice.gsi.gov.uk,106,0.0,1.0,0,0,0,,,1
28,1,Michael Spurr,SCS3,Chief Executive Officer,NOMS Chief Executive. Reports directly to MoJ Permanent Secretary,Ministry of Justice,National Offender Management Service (NOMS),Chief Operating Officer's Office,0300 047 5164,general.queries@justice.gsi.gov.uk,XX,396604.0,1.0,145000,149999,0,Operational Delivery,,1
29,13,Martin Bellamy,SCS2,NOMS Change & ICT Director,Business change leadership including information and Communications Technology across NOMS,Ministry of Justice,National Offender Management Service (NOMS),Change and ICT Directorate,0300 047 5167,general.queries@justice.gsi.gov.uk,1,826129.855615,1.0,150000,154999,0,Information Technology,,1
30,14,Carol Carpenter,SCS2,Director of HR,Human Resources,Ministry of Justice,National Offender Management Service (NOMS),HR Directorate,0300 047 5164,general.queries@justice.gsi.gov.uk,1,7273301.0,1.0,85000,89999,0,Human Resources,,1
31,15,Ian Blakeman,SCS2,Director of Commissioning and Commercial,Commissioning and Commercial,Ministry of Justice,National Offender Management Service (NOMS),Commissioning and Commercial Directorate,030 0047 5169,general.queries@justice.gsi.gov.uk,1,7663555.30239,1.0,95000,99999,0,Operational Delivery,,1
32,16,Andrew Emmett,SCS2,Interim Director of Finance and Analysis,Finance and Analysis,Ministry of Justice,National Offender Management Service (NOMS),Finance and Analysis Directorate,020 3334 3555,general.queries@justice.gsi.gov.uk,1,2676749.75,1.0,130000,134999,0,Finance,,1
33,103,Philip Copple,SCS2,Director of Public Sector Prisons,Delivery of offender management through Public Sector Prisons,Ministry of Justice,National Offender Management Service (NOMS),Public Sector Prisons,01937 544512,general.queries@justice.gsi.gov.uk,1,2110824.1,1.0,100000,104999,0,Operational Delivery,,1
34,106,Colin Allars,SCS2,Director of Probation and Contracted Services,Probation and Contracted Services,Ministry of Justice,National Offender Management Service (NOMS),Probation and Contracted Services,0300 047 5157,general.queries@justice.gsi.gov.uk,1,446211.0,1.0,100000,104999,0,Operational Delivery,,1
35,107,Digby Griffith,SCS2,Director of National Operational Services,National Operational Services,Ministry of Justice,National Offender Management Service (NOMS),National Operational Services Directorate,0300 047 5152,general.queries@justice.gsi.gov.uk,1,1618534.0,1.0,100000,104999,0,Operational Delivery,,1
36,2,Eliminated,SCS1,Head of Internal Audit and Assurance,"Provision of internal audit, risk management and assurance and counter fraud activity (including fraud investigations)",Ministry of Justice,National Offender Management Service (NOMS),Chief Executive Officer's Unit,,,1,0.0,1.0,0,0,0,,,1
